Snow_mm,Solar_Radiation
-0.7575,0.0
-0.763,0.0
-0.763,0.0
-0.763,0.098
-0.763,7.734
-0.763,23.93
-0.779,67.39
-0.9825,150.5
-0.97175,261.6
-0.929,348.8
-0.97875,530.4
-0.984,637.4
-1.25675,349.3
-1.27275,384.0
-1.407,149.2
-1.407,37.4
-1.407,21.75
-1.407,0.049
-1.407,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.40075,0.0
-1.39525,0.0
-1.39,0.0
-1.38475,0.0
-1.37425,0.0
-1.37925,0.442
-1.406,16.45
-1.35875,125.0
-1.1115,470.9
-0.9345,633.7
-0.97875,634.1
-0.979,805.0
-0.979,681.2
-1.1935,369.0
-1.392,127.8
-1.407,96.6
-1.407,68.74
-1.407,49.13
-1.407,5.685
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.40175,0.0
-1.34825,0.265
-1.332,10.91
-1.2945,77.66
-1.0955,124.9
-1.04725,123.9
-0.96225,374.9
-0.979,494.1
-1.1935,698.9
-0.979,622.6
-0.979,854.0
-1.247,663.7
-1.408,125.5
-1.407,52.92
-1.407,15.13
-1.407,0.17
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.26725,0.0
-0.977,0.0
-0.84425,0.0
-0.83925,0.0
-0.87675,0.0
-0.89825,0.0
-0.952,0.0
-1.0005,0.0
-1.301,0.0
-1.35975,0.0
-1.408,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.407,0.0
-1.406,0.0
-1.406,0.0
-1.406,0.0
-1.40575,0.0
-1.4055,0.0
-1.405,0.0
-1.40575,0.0
-1.33125,0.0
-1.0685,0.0
-0.8915,0.0
-0.893,0.0
